epoch,step,train_loss_epoch,train_loss_step
0,9,119738280.0,
1,19,118730800.0,
2,29,117747416.0,
3,39,116775896.0,
4,49,,313361536.0
4,49,115816648.0,
5,59,114868496.0,
6,69,113930248.0,
7,79,113000864.0,
8,89,112079592.0,
9,99,,300784640.0
9,99,111165824.0,
10,109,110259152.0,
11,119,109359240.0,
12,129,108465848.0,
13,139,107578768.0,
14,149,,288694784.0
14,149,106697816.0,
15,159,105822880.0,
16,169,104953848.0,
17,179,104090608.0,
18,189,103233064.0,
19,199,,277012704.0
19,199,102381168.0,
20,209,101534824.0,
21,219,100693992.0,
22,229,99858616.0,
23,239,99028632.0,
24,249,,265707456.0
24,249,98203984.0,
25,259,97384664.0,
26,269,96570592.0,
27,279,95761744.0,
28,289,94958080.0,
29,299,,254761216.0
29,299,94159560.0,
30,309,93366144.0,
31,319,92577816.0,
32,329,91794544.0,
33,339,91016280.0,
34,349,,244161024.0
34,349,90243008.0,
35,359,89474672.0,
36,369,88711296.0,
37,379,87952808.0,
38,389,87199184.0,
39,399,,233896336.0
39,399,86450416.0,
40,409,85706464.0,
41,419,84967304.0,
42,429,84232920.0,
43,439,83503272.0,
44,449,,223957872.0
44,449,82778352.0,
45,459,82058120.0,
46,469,81342568.0,
47,479,80631656.0,
48,489,79925368.0,
49,499,,214337184.0
49,499,79223688.0,
50,509,78526576.0,
51,519,77834024.0,
52,529,77146000.0,
53,539,76462496.0,
54,549,,205026400.0
54,549,75783488.0,
55,559,75108936.0,
56,569,74438816.0,
57,579,73773144.0,
58,589,73111856.0,
59,599,,196017952.0
59,599,72454968.0,
60,609,71802432.0,
61,619,71154248.0,
62,629,70510376.0,
63,639,69870800.0,
64,649,,187304784.0
64,649,69235512.0,
65,659,68604488.0,
66,669,67977688.0,
67,679,67355112.0,
68,689,66736744.0,
69,699,,178879872.0
69,699,66122548.0,
70,709,65512512.0,
71,719,64906620.0,
72,729,64304848.0,
73,739,63707180.0,
74,749,,170736528.0
74,749,63113588.0,
75,759,62524056.0,
76,769,61938584.0,
77,779,61357128.0,
78,789,60779684.0,
79,799,,162868336.0
79,799,60206240.0,
80,809,59636752.0,
81,819,59071220.0,
82,829,58509616.0,
83,839,57951924.0,
84,849,,155268816.0
84,849,57398132.0,
85,859,56848228.0,
86,869,56302176.0,
87,879,55759964.0,
88,889,55221576.0,
89,899,,147931792.0
89,899,54686992.0,
90,909,54156200.0,
91,919,53629172.0,
92,929,53105904.0,
93,939,52586376.0,
94,949,,140851184.0
94,949,52070564.0,
95,959,51558452.0,
96,969,51050024.0,
97,979,50545268.0,
98,989,50044152.0,
99,999,,134021096.0
99,999,49546660.0,
100,1009,49052788.0,
101,1019,48562516.0,
102,1029,48075836.0,
103,1039,47592712.0,
104,1049,,127435656.0
104,1049,47113128.0,
105,1059,46637084.0,
106,1069,46164544.0,
107,1079,45695508.0,
108,1089,45229948.0,
109,1099,,121089152.0
109,1099,44767852.0,
110,1109,44309196.0,
111,1119,43853980.0,
112,1129,43402176.0,
113,1139,42953764.0,
114,1149,,114975936.0
114,1149,42508740.0,
115,1159,42067084.0,
116,1169,41628772.0,
117,1179,41193800.0,
118,1189,40762140.0,
119,1199,,109090528.0
119,1199,40333776.0,
120,1209,39908704.0,
121,1219,39486904.0,
122,1229,39068356.0,
123,1239,38653044.0,
124,1249,,103427528.0
124,1249,38240960.0,
125,1259,37832072.0,
126,1269,37426376.0,
127,1279,37023856.0,
